SMILES	JNK1	JNK2	JNK3	FA7
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1c(ncc1c1c[nH]c(c1)c1cc[nH]n1)c1cnc2ccccc2c1)C(=O)N	8.9	8.9	8.9	9.7
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1cnc(c1c1n(cnc1)c1[nH]c2c(n1)cncn2)CN1C(=O)C(=NO)c2c1cccc2)C(=O)N	9.5	9.7	9.5	8.9
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1c(ncc1C1CCN(C)CC1)c1ccc2[nH]nc(c2c1)CC(=O)N)C(=O)N	7.3	8.0	7.3	9.3
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1cnc(c1)c1c(c[nH]n1)c1n[nH]c2ccc(cc12)CCC)C(=O)N	8.1	9.6	8.1	8.2
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1c(ncc1CC(=O)Nc1c(F)cc(F)cc1F)c1cnc2ccccc2c1)C(=O)N	8.2	9.1	8.2	8.8
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1cnc(c1)c1n(cnc1C(=O)NO)CC#C)C(=O)N	8.2	8.2	8.2	7.4
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1c(nc(c1c1ccc(Br)o1)c1cnc2ccccc2c1)c1ccc(Br)o1)C(=O)N	8.4	8.5	8.4	9.5
C12Cc3c(c(O)ccc3N3CCCCC3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1c(ncc1c1cc2c(ccc3c2cncc3)nc1)c1ncncc1Cl)C(=O)N	7.7	9.2	7.7	8.6
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1c(nc(c1)C1OC(C(C1O)O)N(C)C)C1OCC(C1O)O)C(=O)N	6.7	7.7	6.7	7.5
C12Cc3c(c(O)ccc3n3cc(c4c3cccc4)C3=C(C(=O)NC3=O)c3c[nH]c4c3cccc4)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1c(ncc1C(=O)NCC)c1cc(Cl)ccc1F)C(=O)N	7.5	8.4	7.5	7.6
C12Cc3c(c(O)ccc3n3cnc4cnc(nc34)n3c4ncnc(N)c4nc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1c(ncc1)c1ccncn1)C(=O)N	9.4	9.5	9.4	8.4
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1c(ncc1c1[nH]cnc1c1ccco1)c1cc(c(F)cc1)F)C(=O)N	8.5	8.0	8.5	8.7
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1c(nc(c1c1nc[nH]c1)CN1C(=O)C(=NO)c2c1cccc2C=Cc1ccccc1)CS(=O)(=O)C)C(=O)N	9.1	11.2	9.1	8.3
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1c(nc(c1)CS(=O)(=O)C)c1c(c[nH]n1)C1CCN(C)CC1)C(=O)N	9.0	7.7	9.0	8.4
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1c(nc(c1c1cccc2N(C(=O)C(=NO)c12)C)c1cc2c(ccc3c2cncc3)nc1)C(=O)NC)C(=O)N	8.6	8.2	8.6	8.8
C12Cc3c(c(O)ccc3N3CCNCC3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1cnc(c1c1c[nH]cc1)c1c[nH]nc1)C(=O)N	7.5	8.9	7.5	7.4
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1cnc(c1c1nc[nH]c1CN1C(=O)C(=NO)c2c1ccc(c2)F)CCCN(C)C)C(=O)N	8.7	8.3	8.7	8.7
C12Cc3c(c(O)ccc3n3c4ncnc(N)c4nc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1c(nc(c1)c1[nH]ccc1)c1ccc2[nH]ncc2c1)C(=O)N	8.5	10.4	8.5	9.3
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1cnc(c1c1nc([nH]c1)CCC)c1n[nH]c2ccccc12)C(=O)N	9.0	9.1	9.0	8.7
C12Cc3c(c(O)ccc3n3c4ncnc(N)c4nc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1c(nc(c1)C(=O)NC)CCO)C(=O)N	7.2	7.9	7.2	7.6
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1c(nc(c1CCCN(C)C)c1cnc2ccccc2c1)c1cc(F)cc2c1OCOC2)C(=O)N	8.1	7.4	8.1	8.6
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1c(ncc1CC(=O)NC)c1ccc(S(=O)(=O)N)cc1)C(=O)N	7.4	8.3	7.4	7.9
