SMILES	2xkj	2xkk	3ifz	FA7
c1(c(F)cc2c(=O)c(cn(c2c1)C1C2N(CC(C)(S2)C)C1=O)C1C(C)(SC2N1C(=O)C2N)C)Nc1c(F)cc(F)cc1	8.2	0.0	9.1	8.9
c1(c(F)cc2c(=O)c(c[nH]c2c1)C1C(C)(SC2N1C(=O)C2N)C)n1cc(c(=O)c2cc(ccc12)F)c1c(=O)c2cc(ccc2n(c1)C(=O)O)F	10.6	0.0	10.6	9.6
c1c(F)cc2c(=O)ccn(c2c1)C1C2N(C(C(C)(S2)C)C2C(C)(SC3N2C(=O)C3n2cc(c(=O)c3cc(c(cc23)NC(=O)C)F)CC(=O)N)C)C1=O	9.0	0.0	8.3	8.4
CC1(C(N2C(S1)C(C2=O)N)c1c(=O)c2cc(c(cc2n(c1)Cc1ccccc1)N1CC(C)NCC1)F)C	9.3	0.0	8.5	8.6
CC1CN(CCN1)C(C(=O)NC1C2N(CC(C)(S2)C)C1=O)c1c(=O)c2cc(ccc2n(c1)C(C(=O)N)N1CC(C)NCC1)F	7.3	0.0	8.6	8.1
CC1(C(N2C(S1)CC2=O)C(C(=O)N)c1c(=O)c2cc(ccc2n(c1)C1C2N(C(C(C)(S2)C)c2ccccc2OC)C1=O)F)C	7.7	0.0	7.4	8.5
c1c(F)cc2c(=O)c(cn(c2c1)C1C2N(CC(C)(S2)C)C1=O)C1C(C)(SC2N1C(=O)C2n1cc(c(=O)c2cc(cc(c12)OC)F)C)C	8.6	0.8	9.1	8.3
c1(c(F)cc2c(=O)c(cn(c2c1)CC)C1CC1)n1cc(c(=O)c2cc(c(cc12)n1ccc(=O)c2cc(ccc12)F)F)C1C(C)(SC2N1C(=O)C2)C	9.5	0.0	8.6	8.1
CC1CN(CCN1)C1C2N(C(C(C)(S2)C)Cn2cc(c(=O)c3cc(ccc23)F)C(C(=O)N)N2CC(C)NCC2)C1=O	7.9	0.0	8.6	8.0
N1(CCNCC1)C1C2N(C(C(C)(S2)C)Cc2c(=O)c3cc(ccc3n(c2)c2c(F)cc3c(=O)c(c[nH]c3c2)C2CC2)F)C1=O	9.4	0.0	9.4	9.2
c1(c(F)cc2c(=O)ccn(c2c1)CC1C(C)(SC2N1C(=O)C2N)C)n1ccc(=O)c2cc(cc(c12)OC)F	8.7	0.0	8.4	8.6
